Stock Location,Cellar,Retail,SKU,L-WIN,Wine Searcher,Country,Region,Sub Region,Colour,Type,Alc%,Classification,Bottles/Case,Box Type,Wine Name,Vintage,Single size,"Bottle price landed, DP excellar",Shop Price + VAT,Shop Price ex VAT,Actual Margin,Note
,FALSE,FALSE,,,,,,,,,,,,,Evangile,2005,0.75,137.5, £	305.55 ,244.44,78%,
A5,TRUE,FALSE,,,,France,Bourgogne,Cote-d’Or,White,Still,,1er Cru,,,"Fernand & Laurent Pillot, Chassagne Montrachet Champgains",2009,0.75,18.79, £	40.75 ,32.6,73%,
,FALSE,FALSE,,,,,,,,,,,,,"Ferraton, Hermitage Miaux",2000,0.75,30.8, £	40.80 ,32.64,6%,15 bottles in the cellar SHOP ONLY
C1,TRUE,FALSE,,,,,,,,,,,,,Figeac,2005,0.75,66.0416666666667, £	181.90 ,145.52,120%,
,FALSE,FALSE,,,,,,,,,,,,,Figeac,2000,0.75,200, £	196.50 ,157.2,-21%,only 1 bottle
,FALSE,FALSE,,,,,,,,,,,,,Figeac,2006,0.75,50.4583333333333,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,"Fleur de Pin, Doux",2009,0.375,5.5, £	10.20 ,8.16,48%,
C1,TRUE,FALSE,,,,,,,,,,,12,,Fleur Gay,1995,0.75,52.5, £	98.95 ,79.16,51%,
,FALSE,FALSE,,,,,,,,,,,,,Fonbel,2006,0.75,13.13, £	34.95 ,27.96,113%,
,FALSE,FALSE,,,,,,,,,,,,,Fonplegade,2010,0.375,5.57291666666667, £	17.50 ,14,151%,same than wholesale price - price to be changed
,FALSE,FALSE,,,,,,,,,,,,,Fonplegade,2010,0.75,20, £	30.00 ,24,20%,same than wholesale price - price to be changed
,FALSE,FALSE,,,,,,,,,,,,,Fonplegade,2010,1.50,40, £	70.00 ,56,40%,same than wholesale price - price to be changed
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood Delord, Armagnac",1942,0.5,45, £	366.00 ,292.8,551%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood Delord, Armagnac",1946,0.5,45, £	366.00 ,292.8,551%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood Delord, Armagnac",1953,0.5,45, £	300.00 ,240,433%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood Delord, Armagnac",1956,0.5,45, £	257.00 ,205.6,357%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood Delord, Armagnac",1960,0.5,45, £	227.00 ,181.6,304%,
A5,TRUE,FALSE,,,,France,Bourgogne,,,,,,,,"Friarwood, Bourgogne Blanc Chatelaine",2010,0.75,6.14, £	9.90 ,7.92,29%,price to be increased because 2013 bought too expensive
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood, Bourgogne Blanc Chatelaine",2013,0.75,7.61166666666667,NA,NA,,price to be increased because 2013 bought too expensive
A8,TRUE,FALSE,,,,France,,,White,Sparkling,,,,,"Friarwood, Champagne Brut",NV,0.75,13.5666666666667, £	27.70 ,22.16,63%,
A8,TRUE,FALSE,,,,France,,,,,,,,,"Friarwood, Champagne Brut",NV,1.5,27.28, £	64.80 ,51.84,90%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood, Champagne Brut",NV,0.375,12.5666666666667, £	16.25 ,13,3%,Bought too expensive - cases have only 12 bottles
B2,TRUE,FALSE,,,,,,,,,,,12,,"Friarwood, Marcassin Merlot",2011,0.75,4.38416666666667, £	8.50 ,6.8,55%,
A1,TRUE,FALSE,,,,France,,,White,,12.5,,,,"Friarwood, Sauvignon Blanc Saumon",2012,0.75,5.41666666666667, £	8.50 ,6.8,26%,
,FALSE,FALSE,,,,,,,,,,,,,"Friarwood, Volnay Clos Chenes",2001,0.75,15.15, £	37.40 ,29.92,97%,
C1,TRUE,FALSE,,,,France,Bordeaux,Saint Emilion,Red,,,,12,,Gaffeliere (Saint Emilion),1998,0.75,32.25, £	87.30 ,69.84,117%,
C1,TRUE,FALSE,,,,,,,,,,,12,,Gaffeliere (Saint Emilion),2005,0.75,41.46, £	116.40 ,93.12,125%,
,FALSE,FALSE,,,,,,,,,,,,,Gaffeliere (Saint Emilion),2009,0.75,44.7916666666667,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Gay,2004,0.75,32.5,NA,NA,,
C,TRUE,FALSE,,,,,,,,,,Grand Cru Classe,24,,Giscours,2005,0.750,,,,,
C4,TRUE,FALSE,,,,,,,,,,,24,,Giscours,2004,0.375,16, £	43.65 ,34.92,118%,
,FALSE,FALSE,,,,,,,,,,,,,Giscours,2009,0.375,16.0208333333333,POA,NA,,
,FALSE,FALSE,,,,,,,,,,,,,Giscours,2001,0.75,36.5, £	72.75 ,58.2,59%,
,FALSE,FALSE,,,,,,,,,,,,,Giscours,2003,0.75,32.25, £	72.75 ,58.2,80%,
,FALSE,FALSE,,,,,,,,,,,,,Giscours,2004,0.75,28, £	80.05 ,64.04,129%,
